idsql	idgroup	selectionpt	sql	selectionen
2771	3	Qual o número de incidentes com o estado da atividade que tem enddatetime mais antigo que 08/03/2016, incluindo somente aqueles com mais de 1 evento?	SELECT COUNT(idevent), activity FROM log_table WHERE enddatetime < 2016-03-08T00:00:00.000Z GROUP BY activity HAVING COUNT(idevent) > 1;	What's the number of incidents with their activity state that have enddatetime older than 08/03/2016, including only those with more than 1 event?
2772	13	Quantos casos um recurso tem, agrupados por atividade?	SELECT COUNT(idevent), activity FROM Log_table GROUP BY activity	How many cases a resource has, grouped by activity?
2773	13	Quais os casos onde o recurso é 112, 11002 ou 11179?	SELECT * FROM Log_table WHERE resource IN ('112', '11002', '11179');	What's the cases where the resource is 112, 11002 or 11179?
2774	29	Quantos casos tem o status de atividade "Awaiting Assignment"?	SELECT COUNT(idevent) FROM Log_table WHERE activity = "Awaiting Assignment"	How many cases have the activity status "Awaiting Assignment"?
2775	29	Quantos casos cada recurso tem que iniciaram entre 1/5/2012 e 1/6/2012?	SELECT COUNT(idevent), resource FROM Log_table WHERE startdatetime BETWEEN "2012-05-01T00:00:00.000Z" AND "2012-06-01T00:00:00.000Z" GROUP BY Country;	How many cases each resource has that started between 1/5/2012 and 1/6/2012?
2776	33	Qual o estado de atividade para casos que não estão em resource 560532 e 560458?	SELECT activity, resource FROM Log_table WHERE resource NOT IN ('560532', '560458');	What's the activity state and resource for cases which are not in resource 560532 and 560458?
2777	33	Quantos casos tem um costevent nulo?	SELECT COUNT(idevent) FROM Log_table WHERE costevent IS NULL;	How many cases have a null costevent?
2778	39	Quais viagens foram iniciadas ou terminadas e que ainda não tiveram seus pagamentos solicitados ou efetuados ?	SELECT idcase from AUTORIZAÇÃO OU REEMBOLSO PARA VIAGEM ACADÊMICA WHERE activity IN ('start trip', 'end trip') and activity NOT IN ('request payment", 'payment handled')	Which trips have started or ended and which payments have not yet been requested or paid ?
2779	13	Informe todos os casos nos quais o recurso 112 foi utilizado	select idcase from REQUISIÇÕES DE EMPRÉSTIMO where resource = '112'	Report all cases in which resource 112 was used
2780	13	Relacione os eventos que não foram utilizados ou reportado uso de recursos	SELECT idevent FROM REQUISIÇÕES DE EMPRÉSTIMOS WHERE resource is null	List events that have not been used or reported resource usage
2781	2	Quais casos foram abertos em março de 2016 ?	select idcase from GERENCIAMENTO DE INCIDENTES where activity in ('new', 'active') and enddatetime between (2016-03-01'and 2016-03-31)	What cases were opened in March 2016?
2782	2	Quais incidentes foram atualizados pelo recurso 974 ?	select idcase from GERENCIAMENTO DE INCIDENTES where activity in ('new', 'active') and resource = 'updated by 974'	Which incidents were updated by resource 974?
2783	18	Quais os recursos tem mais de 5 atuações nos incidentes?	SELECT resource, count(activity) as numeroAtividades FROM log4_excerpt18 GROUP BY resource HAVING COUNT(activity) > 5	Which resources have more than 5 actions on incidents?
2784	18	Quais são os tipos de atividades existentes no log?	SELECT activity FROM log4_excerpt18 GROUP BY activity	What types of activities exist in the log?
2785	11	Qual é o menor recurso?	SELECT MIN(resource) AS SmallestResource FROM log3_excerpt11;	Which is the smallest resource?
2786	29	Existem eventos com status 'closed'?	SELECT idcase FROM log6_excerpt29 WHERE activity = ANY (SELECT activity FROM log6_excerpt29 WHERE activity = 'closed');	Are there events with 'closed' status?
2787	29	Qual é a atividade que é mais recorrente no log?	select activity, COUNT(activity) as qtd from log6_excerpt29 group by activity order by count(activity) DESC limit 1	What activity is most recurrent in the log?
2788	26	Quais os recursos que mais atuam na atividade 'In Progress'? Considerando do maior para o menor.	select resource, COUNT(resource) as qtd from log6_excerpt29 where activity = 'In Progress' group by resource order by count(resource) DESC	What resources are most active in the 'In Progress' activity? Considering from the biggest to the smallest.
2789	26	Quanto problemas foram atribuídos à Peter e Marie?	select count(distinct idcase) from log6_excerpt29 where resource in ('Marie', 'Peter') and activity = 'Assigned'	How many problem were Peter and Marie assigned to?
2790	26	Existem atividades no idcase 'X' que não acontece no idcase 'Y'?	select activity from log6_excerpt29 where idcase = '1-147898401' except select activity from log6_excerpt29 where idcase = '1-236817141'	Are there activities in idcase 'X' that do not happen in idcase 'Y'?
2791	28	Quais recursos atuaram na atividade 'closed' mais do que duas vezes?	select resource, count(activity) from log6_excerpt28 where activity = 'Closed' group by idcase, resource, activity having count(activity) >= 2	Which resources acted in the 'closed' activity more than twice?
2792	26	Which problems were in progress between '2012-05-01' and '2012-05-10'	select distinct idcase from log6_excerpt29 where activity = 'In Progress' and startdatetime between '2012-05-01' and '2012-05-02'	Which problems were in progress between '2012-05-01' and '2012-05-10'?
2793	28	Qual a média de tempo para execução de um case?	select AVG(dias) as avgDays from (SELECT DATEDIFF(MAX(startdatetime), MIN(startdatetime)) as dias FROM log6_excerpt28 GROUP BY idcase) a	What is the average time to run a case?
2794	28	Qual a média de tempo para execução de um case?	select AVG(dias) as avgDays from (SELECT DATEDIFF(MAX(startdatetime), MIN(startdatetime)) as dias FROM log6_excerpt28 GROUP BY idcase) a	What is the average time to run a case?
2795	15	Quantos ids de 'resources' existem para cada 'idcase'?	SELECT idcase, count(distinct resource) as num_resources_id FROM public.log3_excerpt15 group by 1;	How many ids of 'resources' are there for each 'idcase'?
2796	21	Quais problemas foram inteiramente tratados por Niklas?	SELECT DISTINCT idcase FROM log5_excerpt21 WHERE resource = 'Niklas' AND idcase <> ALL ( SELECT idcase FROM log5_excerpt21 WHERE resource <> 'Niklas')	Which problems were fully handle by Niklas?
2797	15	Quais 'idcases' estão em 'COMPLETE' para a 'activity' identificada como 'W_Afhandelen'?	with q1 as( select idcase, activity from public.log3_excerpt15 where activity like '%W_Afhandelen%' ) select * from q1 where q1.activity like '%COMPLETE%';	What 'idcases' are in 'COMPLETE' for the 'activity' identified as 'W_Afhandelen'?
2798	21	Quanto tempo demorou para o problema mais longo ser encerrado?	Quanto tempo demorou para o problema mais longo ser encerrado?	How long took to the longest problem being closed?
2799	35	Quais 'idcases' registraram multiplos 'events' em um dia?	SELECT idcase, enddatetime, count(idevent) as n_events FROM public.log7_excerpt35 group by 1,2 HAVING COUNT(3) > 1	Which 'idcases' registered multiple 'events' in one day?
2800	35	Para cada case, existem quantos eventos de custo nulo em cada recurso?	SELECT idcase, resource, COUNT(case when costevent is NULL then 1 end) FROM public.log7_excerpt35 group by 1,2	For each case, how many null-cost events are there in each resource?
2801	10	Quais eventos tem atividade 'remetida'?	SELECT idevent, activity FROM public.log2_excerpt10 where activity like '%Remetido%'	Which events have 'remetido' on description activity?
2802	10	Qual o custo total de todos os eventos finalizados ao dia?	SELECT enddatetime , count(idevent) events, sum(costevent) total_cost FROM public.log2_excerpt10 group by 1 order by 1, 2	What is the total cost of all finished events per day?
2803	10	Qual o custo total de todos os eventos finalizados ao dia?	SELECT enddatetime , count(idevent) events, sum(costevent) total_cost FROM public.log2_excerpt10 group by 1 order by 1, 2	What is the total cost of all finished events per day?
2804	36	Das atividades que necessitam de supervisor ou diretor, quais tem o custo de evento maior que 50?	select * from public.log8_excerpt36 where activity like '%SUPERVISOR%' or activity like '%DIRECTOR%' union select * from public.log8_excerpt36 where costevent >= 50	Which activities require a supervisor or director and have an event cost greater than 50?
2805	24	Qual é a quantidade de casos por evento?	SELECT count ((idevent)), idcase FROM public.log5_excerpt24 where idcase = idcase group by idcase	What is the number of cases per event?
2806	24	Quantas tarefas foram atribuídas por recurso?	SELECT count ((idevent)), resource FROM public.log5_excerpt24 where resource = resource group by resource;	How many tasks were assigned per resource?
2807	15	Quantas são as atividades com status de completo determinando diferentes variantes no processo?	SELECT count ((idcase)), activity FROM public.log3_excerpt15 where activity like '%COMPLETE%' group by activity;	How many activities have complete status determining different variants in the process?
2808	15	Quais são as atividades com status de completo determinando diferentes variantes no processo com ocorrência maior ou igual a 3 eventos no log?	SELECT count ((idcase)), activity FROM public.log3_excerpt15 where activity like '%COMPLETE%' group by activity HAVING COUNT(*) >= 3	What are the activities with complete status determining different process variants with occurrence greater than or equal to 3 events in the log?
2809	40	Qual é o custo médio do evento por caso?	SELECT avg ((costevent)), idcase FROM public.log8_excerpt40 where idcase = idcase group by idcase order by avg ((costevent)) desc	What is the average event cost per case?
2810	40	Qual é o valor médio do custo por recurso utilizado?	SELECT avg ((costevent)), resource FROM public.log8_excerpt40 where resource = resource group by resource order by avg ((costevent)) desc	What is the average cost per resource used?
2811	29	Quais casos foram atribuídos para Alice solucionar e em quantas tarefas que ela está envolvida por caso?	SELECT count ((idcase)), resource, idcase FROM public.log6_excerpt29 where idcase = idcase and resource = 'Alice' group by resource, idcase order by count ((idcase)) desc	Which cases have Alice been assigned to solve and how many tasks is she involved in per case?
2812	29	Quem são os recursos com alocação de tarefas maior ou igual a 10 ordenado pelo maior número de ocorrência?	SELECT count ((idcase)), resource FROM public.log6_excerpt29 where idcase = idcase group by resource HAVING COUNT(*) >= 10 order by count ((idcase)) desc	Who are the resources with task allocation greater than or equal to 10 ordered by the highest number of occurrences?
2813	15	Qual a quantidade de eventos que ocorrem por mês?	with add_month as ( select idevent , idcase , resource , extract(month from enddatetime) as end_month from public.log3_excerpt15 ) select end_month, count(idevent) event_month from add_month group by 1;	How many events take place per month?
2814	15	Quantos subprocessos "W" existem para cada case?	with add_subprocess as ( select *, SUBSTRING(activity, 1, 1) AS subprocess_name from public.log3_excerpt15 ) select idcase, subprocess_name, count(subprocess_name) n_subprocess from add_subprocess where subprocess_name like 'W' group by 1,2;	How many subprocesses "W" are there for each case?
2815	40	Quantas solicitações tiveram permissão com aprovação final do supervisor antes do início da viagem?	SELECT count(DISTINCT *) FROM log8_excerpt39 act1 INNER JOIN log8_excerpt39 act2 ON act1.idcase = act2.idcase WHERE act1.activity = 'Permit FINAL_APPROVED by SUPERVISOR' AND act2.activity = 'Start trip' AND act1.enddatetime < act2.enddatetime	How many requests were allowed with final supervisor approval prior to commencing the trip?
2816	19	Quais eventos foram fechados exceto no dia 10 de maio?	select * from public.log4_excerpt19 where activity like 'Closed' intersect select * from public.log4_excerpt19 where startdatetime != ('2012-05-10')	What events were closed except for the 10th of May?
2817	19	Quantos eventos e atividades foram feitos por cada responsável em resource?	select resource, count(idevent) n_events, count(activity) n_activities from public.log4_excerpt19 group by 1	How many events and activities were carried out by each person responsible in the resource?
2818	40	Qual a média de custo das viagens que tiveram uma fase do processo rejeitada?	SELECT AVG(DISTINCT COSTEVENT) FROM log8_excerpt38 WHERE activity LIKE '%REJECTED%'	What is the average cost of trips that had a process phase rejected?
2819	28	Qual foi tempo aguardando atribuição de cada problema?	SELECT log_s.idcase, MIN(log_e.startdatetime) - log_s.startdatetime as awaitingassingmenttime FROM log6_excerpt28 log_s INNER JOIN log6_excerpt28 log_e ON log_s.idcase = log_e.idcase WHERE log_s.activity = 'Awaiting Assignment' AND log_e.activity <> 'Awaiting Assignment' AND log_e.startdatetime > log_s.startdatetime GROUP BY log_s.idcase, log_s.activity, log_s.startdatetime	What was the time waiting for each issue to be assigned?
2820	28	Qual foi tempo aguardando atribuição de cada problema?	SELECT log_s.idcase, MIN(log_e.startdatetime) - log_s.startdatetime as awaitingassingmenttime FROM log6_excerpt28 log_s INNER JOIN log6_excerpt28 log_e ON log_s.idcase = log_e.idcase WHERE log_s.activity = 'Awaiting Assignment' AND log_e.activity <> 'Awaiting Assignment' AND log_e.startdatetime > log_s.startdatetime GROUP BY log_s.idcase, log_s.activity, log_s.startdatetime	What was the time waiting for each issue to be assigned?
2821	11	Quantas requisições foram enviadas no subprocesso O?	SELECT count(DISTINCT idcase) FROM public.log3_excerpt15 WHERE activity LIKE 'O_SENT%'	How many requests were sent in subprocess O?
2822	22	Retorne o "idcase" e o campo de data em que a atividade foi fechada, ordenada por "resource".	select idcase, startdatetime, resource where activity = "Closed" order by resource asc	Select the "idcase" and the "startdatetime" the activity was closed, ordered by "resource".
2823	22	Quantos eventos foram registrados para cada idcase?	select count (idevent) AS n_eventos group by idcase	How many events were logged for each idcase?
2824	29	Quantos casos foram fechados entre 2012/05/02 e 2012/05/12?	SELECT COUNT(*) FROM gerenciamento_de_incidentes WHERE activity = "Closed" AND startdatetime BETWEEN 2012-05-02T00:00:00.000Z AND 2012-05-12T23:59:59.000Z	How many cases were closed in between 2012/05/02 and 2012/05/12?
2825	29	Qual foi a média de chamados abertos por usuários?	SELECT AVG(chamados) FROM (SELECT COUNT (*) as chamados FROM gerenciamento_de_incidentes GROUP BY resource) chamados	How many tickets were opened on average by users?
2826	33	Em ordem cronológica de finalização, quais casos incluem a atividade 'by law' e quais são o recurso, id de evento e data de finalização correspondentes dessa atividade?	SELECT idevent,idcase,resource,enddatetime FROM log7_excerpt33 WHERE activity LIKE 'by law' ORDER BY enddatetime ASC ;	In chronological order of finish, which cases include the 'by law' activity and what are the resource, event id and end date corresponding to this activity?
2827	29	Qual é o tempo decorrido dos problemas que estão abertos?	select idcase problem_id, last_activity_datetime - first_activity_datetime elapsed_time from ( select distinct idcase , first_value(startdatetime) over(partition by idcase order by idevent range BETWEEN UNBOUNDED PRECEDING AND UNBOUNDED FOLLOWING) first_activity_datetime , last_value(startdatetime) over(partition by idcase order by idevent range BETWEEN UNBOUNDED PRECEDING AND UNBOUNDED FOLLOWING) last_activity_datetime from public.log6_excerpt29 group by startdatetime,idcase,idevent except select case when activity = 'Closed' then idcase end problem_closed , case when activity = 'Closed' then first_value(startdatetime) over(partition by idcase order by idevent range BETWEEN UNBOUNDED PRECEDING AND UNBOUNDED FOLLOWING) end first_activity_datetime , case when activity = 'Closed' then last_value(startdatetime) over(partition by idcase order by idevent range BETWEEN UNBOUNDED PRECEDING AND UNBOUNDED FOLLOWING) end last_activity_datetime from public.log6_excerpt29 group by startdatetime,idcase,idevent ) l6e29	What is the elapsed time of open issues ?
2828	29	Quais são os problemas em aberto que tiveram atuação de mais de um recurso?	select idcase from ( select case when activity = 'Closed' then true else false end problem_closed ,idcase ,resource from public.log6_excerpt29 ) l6e29 group by idcase, problem_closed having problem_closed != true and count(distinct resource) > 1	What are the open issues that had actions of more than one resource?
2829	33	Para cada instância do processo, qual é o número de recursos únicos e seu custo?	SELECT idcase, COUNT(DISTINCT resource) AS unique_resources, AVG(costevent) AS cost FROM log7_excerpt33 GROUP BY idcase ;	For each process instance, what is the number of unique resources and its cost?
2830	10	Quais ações judiciais possuem mais que um movimento processual começando com "Remetido"?	select idcase lawsuits , activity procedural_movement , count(activity) qty from public.log2_excerpt10 group by idcase, activity having count(activity) > 1 and activity like 'Remetido%';	Which lawsuits have more than one procedural movement starting with "Remitted"?
2831	28	Quais são as instâncias de processo que ocorreram (pelo menos em parte) no mês 4, e quantos eventos e recursos únicos (nesse mês) estão associados a tais instâncias de processo?	SELECT idcase, COUNT(idevent) AS num_events, COUNT(DISTINCT resource) AS unique_resources FROM log6_excerpt28 WHERE startdatetime = SOME ( SELECT startdatetime FROM log6_excerpt28 WHERE CAST(startdatetime AS varchar) LIKE '%-04-%' ) GROUP BY idcase ;	Which process instances occurred (at least partially) on month 4, and which events and unique resources (on that month) are associated with such process instances?
2832	10	Qual é o número médio de vezes que um movimento processual aparece em uma ação judicial?	select procedural_movement , avg(qty) lawsuits_movement_avg from ( select activity procedural_movement , count(activity) qty from public.log2_excerpt10 group by idcase, activity ) l2e10 group by procedural_movement order by lawsuits_movement_avg desc;	What is the average number of times a procedural movement appears in a lawsuit?
2833	28	Para cada instância de processo, qual é (em ordem cronológica) a data de início de evento mais posterior?	SELECT idcase,MAX(startdatetime) AS farthest_date FROM log6_excerpt28 GROUP BY idcase ORDER BY MAX(startdatetime) ;	For each process instance, what is (in chronological order) the farthest event start date?
2834	15	Quantos empréstimos foram completados com Afhandelen ?	SELECT COUNT(*) FROM log_table WHERE activity LIKE '%Afhandelen leads-COMPLETE%'	How many loans were completed with Afhandelen ?
2835	9	Quais foram os últimos casos em questão de tempo a chegar na activity "Decisão"?	SELECT DISTINCT idcase FROM gerenciamento_de_incidentes WHERE enddatetime = ALL ( SELECT enddatetime FROM gerenciamento_de_incidentes WHERE activity = "Decisão" )	Which cases were the last ones in the matter of time to reach the activity "Decisão"?
2836	9	Qual a última activity mais frequente além de "Decisão"?	WITH dates AS ( SELECT idcase, MAX(enddatetime) as last_datetime FROM gerenciamento_de_incidentes WHERE activity NOT LIKE "Decisão" ) SELECT activity, COUNT(distinct idcase) FROM gerenciamento_de_incidentes as t1 JOIN dates as t2 ON t1.idcase = t2.idcase AND t1.enddatetime = t2.last_datetime GROUP BY 1 ORDER BY 2 DESC LIMIT 1	What is the most frequent last activity besides "Decisão"?
2837	26	Qual recurso mais atualiza casos como "Closed"?	SELECT resource, COUNT(DISTINCT idcase) FROM GERENCIAMENTO_DE_PROBLEMAS_ABERTOS_VOLVO WHERE activity = "Closed" GROUP BY 1 ORDER BY 2 DESC LIMIT 1	Which resource updates the most cases as "Closed"?
2838	26	Quantos cases estão em progresso até hoje?	SELECT COUNT(DISTINCT idcase) cases FROM GERENCIAMENTO_DE_PROBLEMAS_ABERTOS_VOLVO WHERE activity = "In Progress"	How many cases are still in progress?
2839	13	Qual foi a data de finalização da atividade que finalizou por último em cada ciclo de vida?	select max(enddatetime), 'COMPLETE' from log3_excerpt13 where activity like '%COMPLETE' union select max(enddatetime), 'SCHEDULE' from log3_excerpt13 where activity like '%SCHEDULE' union select max(enddatetime), 'START' from log3_excerpt13 where activity like '%START';	What was the end date of the activity that ended last in each lifecycle?
2840	25	Quantos chamados estão sendo submetidos por usuário em média?	SELECT AVG(resAVG) FROM (SELECT COUNT(*) AS resAVG FROM log5_excerpt21 GROUP BY resource) a	How many tickets are users submitting on average?
2841	25	Quantos chamados cada usuário submeteu?	SELECT COUNT(*), resource FROM log5_excerpt25 GROUP BY resource	How many tickets did each user submit?
2842	15	Quais requisições foram aceitas?	SELECT * FROM log3_excerpt15 WHERE activity LIKE '%ACCEPTED%'	Which requisitions were accepted?
2843	15	Quantos casos foram rejeitados por dia?	SELECT COUNT(*), enddatetime FROM log3_excerpt15 WHERE activity LIKE '%DECLINED%' GROUP BY enddatetime	How many cases were declined per day?
2844	10	Quais os 5 processos com mais ações e quanto tempo demorou entre a primeira e ultima ação para cada processo	SELECT idcase, MAX(enddatetime) - MIN(enddatetime), COUNT(idevent) FROM log_excerpt GROUP BY idcase HAVING COUNT(idevent) > 20 ORDER BY COUNT(idevent) ASC LIMIT 5;	What are the top 5 processes with the most actions and how long did it take between the first and last actions for each process
2845	10	Quais os dez processos mais recentes que não tiveram a decisão executada	(SELECT idcase FROM log_excerpt group by idcase order by MAX(enddatetime) desc ) except (select idcase FROM log_excerpt WHERE activity = 'Decisão') limit 10	what are the ten most recent cases that did not have a decision
2846	37	Quais as viagens iniciadas nos últimos 5 dias	select idcase FROM public.log8_excerpt37 where activity = 'Start trip' and current_timestamp - enddatetime < '5 days' group by idcase order by max(enddatetime) desc	What trips started in the last 5 days
2847	37	Quais as viagens iniciadas nos últimos 5 dias	select idcase FROM public.log8_excerpt37 where activity = 'Start trip' and current_timestamp - enddatetime < '5 days' group by idcase order by max(enddatetime) desc	What trips started in the last 5 days
2848	34	Quais processos tiveram 10 eventos ou menos	select idcase FROM public.log_excerpt group by idcase having count(idevent) < 11 order by max(enddatetime) desc	Which processes had 10 events or less
2849	36	Qual a média de valores de reembolso para viagens realizadas antes de 2018?	SELECT AVG(costevent) FROM log8_excerpt36 WHERE enddatetime < '2018-01-01' AND activity = 'Payment Handled'	What is the average reimbursement value for trips before 2018?
2850	36	Quantas atividades relacionadas à autorização de viagem foram realizadas por cada declaração?	SELECT log8_excerpt36.idcase, COUNT(*) FROM log8_excerpt36 WHERE activity LIKE 'Permit%' GROUP by idcase	How many activities related to trip permits were made by each different declaration
2851	17	Quantos incidentes em andamento estão atribuídos a cada funcionário?	SELECT log4_excerpt17.resource, COUNT(*) FROM log4_excerpt17 WHERE activity = 'In Progress' GROUP BY resource	How many in progress incidents are assigned to each employee?
2852	17	Quantos incidentes estão relacionados a cada "status" diferente?	SELECT log4_excerpt17.activity, COUNT(*) FROM log4_excerpt17 GROUP BY activity	How many incidents are in each different status?
2853	40	Quais são atividades cujo costevent é não nulo?	select activity from log8_excerpt40 where costevent is not null	What are activities whose costevent is not null?
2854	13	Quais são os eventos do subprocesso W que aconteceram depois de todos os eventos do subprocesso O?	select * from log3_excerpt13 le where le.activity like 'W_%' and le.enddatetime > all (select le2.enddatetime from log3_excerpt13 le2 where le2.activity like 'O_%')	What are the events of subprocess W that happened after all the events of subprocess O?
2855	24	Há quantas atividades por tipo para cada recurso?	select resource, activity, count(*) from log5_excerpt24 le group by resource, activity	How many activities per type for each resource?
2856	6	Em ordem alfabética qual foi a data da primeira e da última execução de cada atividade?	Select T1.activity, T2.min AS firstExecution, T1.max AS lastExecution FROM (SELECT activity, MAX(enddatetime) FROM log2_excerpt6 GROUP BY activity) AS T1 Join(SELECT activity, MIN(enddatetime) FROM log2_excerpt6 GROUP BY activity) AS T2 ON T1.activity = T2. activity ORDER BY T1.activity	In alphabetical order what was the date of the first and last execution of each activity?
2857	6	Quais atividades foram realizadas no primeiro semestre de 2020?	select activity, enddatetime from log2_excerpt6 where enddatetime between '2020-01-01' and '2020-03-31'	What activities were carried out in the first half of 2020?
2858	15	Que recurso está sendo usado em cada caso de requisição empréstimo ?	SELECT idcase, resource FROM log3_excerpt15 WHERE resource = '112' ORDER BY idcase	Which loan requirement cases are using resource 112?
2859	24	Quantas atividades ocorreram antes de uma atividade ser fechada?	select T1.idcase, count(*) as countactivity from log5_excerpt24 AS T1 inner join log5_excerpt24 AS T2 on T1.idcase = T2.idcase where T1.activity!= 'Closed' and T2.activity='Closed' group by T1.idcase	How many activities occurred before an activity was closed?
2860	24	Quais atividades o Tomas efetuou no primeiro semestre de 2012?	select idcase, activity from log5_excerpt24 where resource = 'Tomas' and startdatetime between '2012-01-01' and '2012-06-30'	What activities did Tomas carry out in the first half of 2012?
2861	21	Quais problemas ainda estão em progresso, ordenados em ordem crescente pela data de início?	SELECT idevent, activity FROM log5_excerpt21 WHERE activity='In Progress' ORDER BY startDateTime ASC;	Which problems are still in progress, sorted in ascending order?
2862	3	Quais são os incidentes estão ativos e expiraram no final do mês de março de 2016?	SELECT T1.idcase FROM log1_excerpt3 AS T1 WHERE T1.enddatetime <= '2016-03-31' AND T1.activity = 'Active' GROUP BY T1.idcase	Which and how many are the active incidents that expire by the end of March 2016?
2863	21	De quando é o problema mais antigo?	SELECT MIN(startdatetime) FROM log5_excerpt21;	When is the oldest problem?
2864	24	Quais são os recursos em ordem alfabética?	select distinct resource from log5_excerpt24 order by resource	What are the resources in alphabetical order?
2865	18	Quantos incidentes existem por atividade?	SELECT activity, count(*) FROM log4_excerpt16 GROUP BY activity;	How many incidents are there per activity?
2866	18	Quais são os recursos que possuem mais do que 4 incidentes?	SELECT resource FROM log4_excerpt17 GROUP BY resource HAVING COUNT(*) > 4;	Which resources have more than 4 incidents?
2867	3	Quantos incidentes separados por atividade estão expiram no dia 2 de março de 2016?	SELECT T2.activity, COUNT(*) FROM (SELECT T1.idcase,T1.activity, enddatetime FROM log1_excerpt3 AS T1 WHERE T1.enddatetime = '2016-03-02' GROUP BY T1.idcase, T1.activity, T1.enddatetime) AS T2 GROUP BY T2.activity	How many incidents, separeted by activity, expire at March 02nd 2016 ?
2868	14	Quais são as requisições que tiveram origem do subprocesso 'O'?	SELECT * FROM log3_excerpt12 WHERE activity LIKE 'O%';	What are the requests that originated from the subprocess 'O'?
2869	24	Quais casos registrados estão esperando atribuição ?	SELECT T1.idcase FROM log5_excerpt24 AS T1 WHERE T1.idcase NOT IN (SELECT idcase FROM log5_excerpt24 WHERE activity IN ('In Progress', 'Closed') GROUP BY idcase, activity)	Which registered cases are awaiting assigment ?
2870	29	Quais as atividades que ainda estão 'In Progress' ou 'Assigned'? Ordenadas pela data de início mais antiga e pelo nome do recurso.	SELECT * FROM log6_excerpt29 WHERE activity = 'In Progress' OR activity = 'Assigned' ORDER BY startdatetime, resource;	What activities are still 'In Progress' or 'Assigned'? Ordered by earliest start date and resource name.
2871	29	Qual a quantidade de atividades ainda 'In Progress' por nome do recurso? Ordenada por nome do recurso.	SELECT COUNT(*), resource FROM log6_excerpt29 WHERE activity LIKE 'In Progress' GROUP BY resource ORDER BY resource;	What is the amount of activities that are 'In Progress' by resource name? Ordered by resource name.
2872	14	Quantos eventos de 'SCHEDULE' ou 'START' foram executados por subprocesso?	SELECT COUNT(*), SUBSTRING(activity, 1,1) FROM log3_excerpt14 WHERE activity LIKE '%SCHEDULE' OR activity LIKE '%START' GROUP BY SUBSTRING(activity, 1, 1);	How many events 'SCHEDULE' or 'START' were executed by subprocess?
2873	14	Quantos eventos de cada subprocesso cada recurso executou por idcase?	SELECT SUBSTRING(activity, 1, 1) AS sub_process, COUNT(SUBSTRING(activity, 1, 1)), resource, idcase FROM log3_excerpt14 GROUP BY SUBSTRING(activity, 1, 1), resource, idcase ORDER BY idcase, resource DESC;	How many events of each subprocess each resource executed by idcase?
2874	20	Quantas pessoas foram responsáveis por algum incidente?	select count (resource) from log1_excerpt1 where resource is not null	How many people were responsible for some incident?
2875	20	Quantas atividades de cada tipo os operadores atenderam?	SELECT resource, activity, COUNT (acitivity) FROM log1_excerpt1 WHERE resource IS NOT NULL GROUP BY resource, activity	How many activities of each type do operators handle?
2876	20	Quantas atividades de cada tipo os operadores atenderam?	SELECT resource, activity, COUNT (acitivity) FROM log1_excerpt1 WHERE resource IS NOT NULL GROUP BY resource, activity	How many activities of each type do operators handle?
2877	20	Quantas atividades de cada tipo os operadores atenderam?	SELECT resource, activity, COUNT (acitivity) FROM log1_excerpt1 WHERE resource IS NOT NULL GROUP BY resource, activity	How many activities of each type do operators handle?
2878	20	Quantas atividades de cada tipo os operadores atenderam?	SELECT resource, activity, COUNT (acitivity) FROM log1_excerpt1 WHERE resource IS NOT NULL GROUP BY resource, activity	How many activities of each type do operators handle?
2879	1	Quantas atividades de finalização (resolved, closed) cada pessoa foi responsável?	SELECT resource, activity, COUNT (activity) FROM log1_excerpt1 WHERE activity LIKE "%ed" GROUP BY resource, activity	How many completion activities (resolved, closed) was each person responsible?
2880	1	Quantos incidentes novo cada pessoa foi responsável?	SELECT resource, COUNT (activity) FROM log1_excerpt1 WHERE activity IN ("New") GROUP BY resource, activity	How many new incidents was each person responsible?
2881	38	Qual é a data de início e fim de cada declaração diferente?	Select T1.idcase, T2.min AS starttime, T1.max AS endtime FROM (SELECT idcase, MAX(enddatetime) FROM log8_excerpt38 GROUP BY idcase) AS T1 Join(SELECT idcase, MIN(enddatetime) FROM log8_excerpt38 GROUP BY idcase) AS T2 ON T1.idcase = T2.idcase	Which is the start and end date of each different declaration?
2882	35	Quais atividades envolvem registro?	SELECT activity FROM log1_excerpt1 WHERE activity LIKE '%register%';	What activities involve resgistration?
2883	35	Em média, quanto cada atividade custaria?	Select costevent/COUNT * FROM log7_excerpt35 where idcase = 7273165	On average, how much each activity would cost?
2884	33	Quantos pedidos de autorização não tem custo nenhum?	SELECT COUNT() FROM log7_excerpt33 WHERE costevent is null;	How many authorization requests doesn't have any cost?
2885	33	Quais atividades envolvem registro e tomada de decisão?	SELECT activities FROM log7_excerpt33 WHERE activities LIKE '%resgist%' UNION SELECT activities FROM log7_excerpt33 WHERE activities LIKE '%decision%'	What activities involve recording and decision making?
2886	8	Qual é quantidade de atividades que são classificadas sendo como "Petição Juntada"?	SELECT COUNT (activity) FROM public.log2_excerpt8 WHERE activity == 'Petição Juntada';	How many activities are classified as "Joined Petition"?
2887	8	Qual a média de custo de evento deste log de eventos?	SELECT AVG (costevent) FROM public.log2_excerpt8	What is the average event cost of this event log?
